gid,animal,id,time,x,y,geom,label
0,767,1,2005-11-27 16:01:53,1231569.43843427,5781498.86921619,0101000020110F0000733A3D70D1CA3241F13CA1B7FE0D5641,1
1,767,2,2005-11-28 00:03:00,1231541.55290182,5781371.87100375,0101000020110F000043F98A8DB5CA32418386BEF7DE0D5641,1
2,767,3,2005-11-28 04:01:52,1231879.10699376,5781535.53940703,0101000020110F00006CF1631B07CC324110A585E2070E5641,1
3,767,4,2005-11-28 08:01:24,1231599.28318975,5781672.87767148,0101000020110F00009B1F7F48EFCA324100C52B382A0E5641,1
4,767,5,2005-11-28 12:01:56,1231634.19298206,5781679.46496111,0101000020110F0000B445673112CB32413EECC1DD2B0E5641,1
5,767,6,2005-11-28 16:01:24,1231462.87228573,5781463.40120825,0101000020110F00001B1E4EDF66CA32415E65ADD9F50D5641,1
6,767,7,2005-11-28 20:00:53,1231446.10757042,5781406.2968917,0101000020110F00002CBC891B56CA32410B460093E70D5641,1
7,767,8,2005-11-29 00:02:20,1231549.45658567,5781437.27709974,0101000020110F000068CCE274BDCA32418C00BC51EF0D5641,1
8,767,9,2005-11-29 12:01:01,1231638.12256009,5781744.21619516,0101000020110F00001A19601F16CB32413924D60D3C0E5641,1
9,767,10,2005-11-29 16:01:47,1231685.01032961,5781618.400493,0101000020110F000019F6A40245CB324164ADA1991C0E5641,1
10,767,11,2005-11-29 20:01:47,1231692.64684668,5781420.33653801,0101000020110F000078BE97A54CCB3241B9D68915EB0D5641,1
11,767,12,2005-11-30 00:02:51,1231535.89787169,5781440.85112968,0101000020110F000049EBDAE5AFCA32419FE87836F00D5641,1
12,767,13,2005-11-30 04:01:12,1231632.44526606,5781450.531469099,0101000020110F0000DEF4FC7110CB3241F89603A2F20D5641,1
13,767,14,2005-11-30 12:02:14,1231319.39259405,5781516.46704234,0101000020110F00002D0B8164D7C932418E05E41D030E5641,1
14,767,15,2005-11-30 16:01:04,1231440.19650546,5781405.07884124,0101000020110F00008C2E4E3250CA324121BC0B45E70D5641,1
15,767,16,2005-11-30 20:01:12,1231550.55864863,5781442.35767187,0101000020110F0000BC98038FBECA32418E18E496F00D5641,1
16,767,17,2005-12-01 12:02:51,1231635.32844087,5781717.30590952,0101000020110F00006BB3145413CB324186059453350E5641,1
17,767,18,2005-12-01 16:02:38,1231453.38786512,5781955.36620292,0101000020110F0000E6204B635DCA32415FDE6FD7700E5641,1
18,767,19,2005-12-01 20:03:12,1231562.21379932,5782031.01856044,0101000020110F00005F8DBB36CACA3241211830C1830E5641,1
19,767,20,2005-12-02 00:02:24,1231562.77039677,5782039.06467543,0101000020110F000004B938C5CACA32416AA423C4850E5641,1
20,767,21,2005-12-02 04:00:55,1231449.63639828,5781973.59002747,0101000020110F000068FFEAA259CA32419402C365750E5641,1
21,767,22,2005-12-02 16:01:42,1231527.44872234,5781967.94817101,0101000020110F00009F77DF72A7CA324176D5AEFC730E5641,1
22,767,23,2005-12-03 00:02:34,1231576.87457625,5781999.01048208,0101000020110F0000A83AE4DFD8CA324108BDABC07B0E5641,1
23,767,24,2005-12-04 00:02:17,1231871.12538627,5781623.99404489,0101000020110F000089501920FFCB3241756E9EFF1D0E5641,1
24,767,25,2005-12-04 12:02:01,1231835.26937828,5781466.18992131,0101000020110F000097F9F544DBCB3241B6AB278CF60D5641,1
25,767,26,2005-12-04 20:02:10,1232104.59575431,5781588.74991871,0101000020110F0000BE5A8398E8CC32410CABFE2F150E5641,1
26,767,27,2005-12-07 12:02:06,1231562.23606321,5781756.99019497,0101000020110F000077A36E3CCACA3241B95A5F3F3F0E5641,1
27,767,28,2005-12-07 16:01:44,1231591.86931166,5782019.54244094,0101000020110F00007E358BDEE7CA3241345AB7E2800E5641,1
